date,price,price_change,moving_average_7,moving_average_30,price_volatility,target
2024-06-14 00:00:00,66700.31696564378,-0.02234098116976857,68577.39911807668,68489.06874362085,1523.166195145102,0
2024-06-15 00:00:00,66011.07873713733,-0.010333357618997008,68103.93002502884,68482.08742438116,1534.3613041710853,0
2024-06-16 00:00:00,66190.4874891135,0.0027178582051445854,67657.55622013124,68513.07434724008,1475.3155101974673,1
2024-06-17 00:00:00,66615.53782131766,0.006421622627784229,67223.46723209039,68498.4881657808,1492.3127710036288,1
2024-06-18 00:00:00,66460.38897909952,-0.0023290188339287754,66790.21171351071,68483.41384461623,1511.0509450021052,0
2024-06-19 00:00:00,65109.314812190474,-0.02032901383309582,66473.09206850317,68445.30058515871,1582.009976391131,0
2024-06-20 00:00:00,64907.07460760319,-0.0031061639209482017,65999.1713445865,68227.85983867376,1605.704663320456,0
2024-06-21 00:00:00,64844.67441797763,-0.0009613773229312228,65734.07955206276,68049.68779201634,1675.5294789562888,0
2024-06-22 00:00:00,64071.624284709695,-0.011921567040108605,65457.014630287376,67879.36857294741,1810.7816979530173,0
2024-06-23 00:00:00,64239.90348813148,0.0026264232458665937,65178.35977300424,67757.14984445975,1928.7822646862,1
2024-06-24 00:00:00,63221.35738437477,-0.015855349221452153,64693.47685344097,67579.86454175458,2091.8859418181632,0
2024-06-25 00:00:00,60363.23497529626,-0.045208178491037865,63822.45485289764,67283.02418793987,2445.88766404012,0
2024-06-26 00:00:00,61770.413870095355,0.02331185357072041,63345.469004026905,67058.41027998448,2631.7776552130276,1
2024-06-27 00:00:00,60749.89619402014,-0.016521140334616935,62751.58637351504,66771.16552919992,2833.6203842613804,0
2024-06-28 00:00:00,61562.64532550036,0.013378609386993867,62282.725074589725,66546.03251070004,2971.5454460831743,1
2024-06-29 00:00:00,60317.09697945116,-0.02023220963725003,61746.36403098136,66304.02689034976,3173.4435902053892,0
2024-06-30 00:00:00,60864.44316193428,0.009074478214188275,61264.15541295319,66053.75856626955,3298.2914852853114,1
2024-07-01 00:00:00,62734.39383945474,0.030723203571341617,61194.58919225033,65895.7398663519,3341.1352654515804,1
2024-07-02 00:00:00,62819.82226921849,0.0013617479110801245,61545.53023423922,65732.92306138868,3368.8602666442926,1
2024-07-03 00:00:00,62042.5650371006,-0.012372802151316309,61584.40897238283,65543.00799921787,3412.1267011958194,0
2024-07-04 00:00:00,60244.68076433092,-0.02897823891862894,61512.23533957008,65257.554235165386,3486.9278814140466,0
2024-07-05 00:00:00,57189.17412408636,-0.050718280875240884,60887.45373936808,64810.5263337429,3634.903635143934,0
2024-07-06 00:00:00,56739.86285107204,-0.007856579149743137,60376.42029245677,64329.03511442557,3717.2245673761863,0
2024-07-07 00:00:00,58230.4841542266,0.02627114744825998,60000.140434212815,63911.398313132646,3673.4025006826237,1
2024-07-08 00:00:00,55880.3753776708,-0.04035873667701961,59020.99493967226,63463.23207943926,3807.8115047649076,0
2024-07-09 00:00:00,56665.140733520275,0.01404366650269595,58141.7547202868,63041.56663311005,3837.739152554983,1
2024-07-10 00:00:00,57988.30351208401,0.02335056017572046,57562.57450242729,62652.70472559273,3734.2389344834455,1
2024-07-11 00:00:00,57704.202284462874,-0.004899285035333545,57199.64900530328,62259.73888143625,3607.7245415980983,0
2024-07-12 00:00:00,57388.192479166675,-0.005476374211680013,57228.08019888618,61928.373553167025,3582.493530157529,0
2024-07-13 00:00:00,57899.28895749592,0.008905951838695358,57393.71249980388,61584.199195916226,3450.296958537388,1
2024-07-14 00:00:00,59152.71913887286,0.021648455515526077,57525.46035475334,61332.61260169053,3337.7180092192757,1
2024-07-15 00:00:00,60942.32773996293,0.03025403780489966,58248.596406509365,61163.654235118054,3218.9008231374855,1
2024-07-16 00:00:00,64835.48973321571,0.06388272548210927,59415.789120751564,61118.48764325479,3154.8018982434824,1
